exchgID,state,action,theme,UI,utterance
00_S,io_Nx_n,change_theme,-,-, *** これから旅行の話をしましょう***
00_U,-,-,-,4.0,はい
01_S,ct_Nx_n,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
01_U,-,-,-,4.0,国内が多いですかね
02_S,qs_No_n,qs_o_d,default,-, 具体的にはどういったものですか？
02_U,-,-,-,5.0,九州とか新潟とかに行きました
03_S,qs_No_h,re_o_m,旅行,-, なるほど、それは素晴らしい経験ですね。
03_U,-,-,-,5.0,そうなんですよ
04_S,re_Nx_h,qs_x_s,旅行,-, さいきん旅行には行きましたか？
04_U,-,-,-,5.0,最近はその九州に行きましたよ
05_S,qs_No_h,qs_x_s,旅行,-, 「温泉」などリフレッシュするためにいきますか？
05_U,-,-,-,6.0,まさに大分で温泉に行ってきました
06_S,qs_No_h,qs_o_d,default,-, 具体的に教えてもらっていいですか？
06_U,-,-,-,5.0,名前忘れましたけど，古い建物の温泉に行きました
07_S,qs_No_h,re_o_m,default,-, それは面白そうですね。
07_U,-,-,-,5.0,ぜひ行ってみてください
08_S,re_Nx_h,io,旅行,-, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
08_U,-,-,-,5.0,海外はいつかは行ってみたいですね
09_S,io_No_h,qs_o_d,default,-, ほかには、ありますか？
09_U,-,-,-,5.0,あとは北海道行きたいです
