exchgID,state,action,theme,UI,utterance
00_S,io_Nx_n,change_theme,-,-, *** これから旅行の話をしましょう***
00_U,-,-,-,4.0,４
01_S,ct_Nx_n,qs_x_s,旅行,-, 旅行にはよく行かれますか？
01_U,-,-,-,4.0,4
02_S,qs_Nx_n,re_x_d,default,-, そうなんですか．それでは一度独自で調べてみたいと思います．
02_U,-,-,-,4.0,4
03_S,re_Nx_n,qs_x_s,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
03_U,-,-,-,4.0,4
04_S,qs_Nx_n,re_x_d,default,-, それは大変ですよね。
04_U,-,-,-,4.0,4
05_S,re_Nx_n,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
05_U,-,-,-,4.0,4
06_S,qs_Nx_n,re_x_d,default,-, そうなんですか．
06_U,-,-,-,4.0,4
07_S,re_Nx_n,qs_x_s,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
07_U,-,-,-,4.0,4
08_S,qs_Nx_n,re_x_d,default,-, そうなんですか．私も独自に調べてみますね．
08_U,-,-,-,4.0,4
09_S,re_Nx_n,re_x_m,default,-, そうですか、残念です・・
09_U,-,-,-,4.0,4
